reclat,reclon,
42.90887, -78.87051,
42.90883, -78.87057,
42.90885, -78.87058,
42.90884, -78.87058,
42.90884, -78.87056,
42.90882, -78.87055,
42.90887, -78.87059,
42.90887, -78.87062,
42.90889, -78.87060,
42.90885, -78.87049,
42.90887, -78.87052,
42.90888, -78.87055,
42.90892, -78.87066,
42.90890, -78.87059,
42.90891, -78.87063,
42.90886, -78.87051,
42.90885, -78.87048,
42.90888, -78.87054,
42.90892, -78.87064,
42.90890, -78.87057,
42.90886, -78.87050,
42.90889, -78.87055,
42.90882, -78.87057,
42.90882, -78.87047,
42.90887, -78.87054,
42.90889, -78.87056,
42.90892, -78.87063,
42.90890, -78.87057,
42.90885, -78.87062,
42.90888, -78.87060,
42.90887, -78.87058,
42.90890, -78.87056,
42.90885, -78.87062,
42.90889, -78.87058,
