reclat,reclon,
42.96939, -78.83784,
42.96936, -78.83783,
42.96933, -78.83783,
42.96932, -78.83780,
42.96932, -78.83777,
42.96931, -78.83780,
42.96933, -78.83781,
42.96935, -78.83781,
42.96934, -78.83777,
42.96933, -78.83775,
42.96934, -78.83772,
42.96935, -78.83770,
42.96936, -78.83765,
42.96937, -78.83762,
42.96937, -78.83759,
42.96937, -78.83756,
42.96937, -78.83752,
42.96937, -78.83749,
42.96937, -78.83745,
42.96938, -78.83742,
42.96938, -78.83738,
42.96939, -78.83735,
42.96939, -78.83730,
42.96939, -78.83726,
42.96938, -78.83723,
42.96939, -78.83719,
42.96941, -78.83717,
42.96941, -78.83713,
42.96941, -78.83709,
42.96941, -78.83706,
42.96940, -78.83704,
42.96940, -78.83700,
42.96940, -78.83697,
42.96939, -78.83694,
42.96938, -78.83690,
42.96938, -78.83688,
42.96938, -78.83684,
42.96938, -78.83680,
42.96939, -78.83676,
42.96939, -78.83674,
42.96939, -78.83671,
42.96938, -78.83669,
42.96938, -78.83666,
42.96938, -78.83663,
42.96938, -78.83660,
42.96938, -78.83656,
42.96938, -78.83653,
42.96938, -78.83650,
42.96938, -78.83646,
42.96937, -78.83642,
42.96937, -78.83637,
42.96937, -78.83634,
42.96937, -78.83630,
42.96937, -78.83627,
42.96937, -78.83623,
42.96937, -78.83621,
42.96937, -78.83618,
42.96937, -78.83616,
42.96937, -78.83611,
42.96936, -78.83607,
42.96935, -78.83603,
42.96934, -78.83598,
42.96934, -78.83594,
42.96935, -78.83590,
42.96935, -78.83585,
42.96936, -78.83583,
42.96938, -78.83583,
42.96940, -78.83582,
42.96944, -78.83583,
42.96946, -78.83583,
42.96948, -78.83582,
42.96949, -78.83583,
42.96951, -78.83582,
42.96953, -78.83582,
42.96955, -78.83582,
42.96957, -78.83581,
42.96960, -78.83581,
42.96962, -78.83581,
42.96964, -78.83577,
42.96963, -78.83572,
42.96962, -78.83570,
42.96960, -78.83565,
42.96959, -78.83563,
42.96958, -78.83559,
42.96956, -78.83559,
42.96954, -78.83556,
42.96954, -78.83552,
42.96953, -78.83548,
42.96953, -78.83545,
42.96953, -78.83541,
42.96953, -78.83539,
42.96952, -78.83536,
42.96953, -78.83533,
42.96953, -78.83530,
42.96953, -78.83526,
42.96952, -78.83522,
42.96952, -78.83519,
42.96952, -78.83515,
42.96952, -78.83512,
42.96951, -78.83507,
42.96951, -78.83504,
42.96952, -78.83501,
42.96953, -78.83499,
42.96953, -78.83496,
42.96952, -78.83493,
42.96952, -78.83488,
42.96951, -78.83489,
42.96948, -78.83487,
42.96950, -78.83484,
42.96951, -78.83482,
42.96949, -78.83482,
42.96948, -78.83479,
42.96947, -78.83475,
42.96945, -78.83474,
42.96945, -78.83471,
42.96942, -78.83468,
42.96941, -78.83466,
42.96940, -78.83464,
42.96939, -78.83461,
42.96939, -78.83456,
42.96939, -78.83452,
42.96939, -78.83448,
42.96939, -78.83444,
42.96938, -78.83440,
42.96937, -78.83435,
42.96937, -78.83431,
42.96937, -78.83427,
42.96936, -78.83422,
42.96936, -78.83418,
42.96935, -78.83414,
42.96935, -78.83410,
42.96936, -78.83406,
42.96935, -78.83402,
42.96935, -78.83398,
42.96934, -78.83395,
42.96933, -78.83391,
42.96934, -78.83388,
42.96934, -78.83384,
42.96934, -78.83381,
42.96934, -78.83377,
42.96934, -78.83373,
42.96933, -78.83370,
42.96932, -78.83366,
42.96932, -78.83362,
42.96933, -78.83358,
42.96935, -78.83354,
42.96933, -78.83351,
42.96934, -78.83347,
42.96933, -78.83344,
42.96932, -78.83341,
42.96932, -78.83338,
42.96932, -78.83334,
42.96931, -78.83331,
42.96931, -78.83328,
42.96930, -78.83325,
42.96932, -78.83323,
42.96932, -78.83328,
42.96933, -78.83331,
42.96935, -78.83333,
42.96939, -78.83332,
42.96939, -78.83329,
42.96938, -78.83327,
42.96937, -78.83323,
42.96937, -78.83321,
42.96936, -78.83318,
42.96937, -78.83316,
42.96935, -78.83312,
42.96935, -78.83307,
42.96934, -78.83303,
42.96933, -78.83299,
42.96933, -78.83295,
42.96933, -78.83291,
42.96931, -78.83289,
42.96931, -78.83285,
42.96931, -78.83281,
42.96932, -78.83278,
42.96932, -78.83274,
42.96933, -78.83270,
42.96933, -78.83266,
42.96932, -78.83262,
42.96933, -78.83258,
